Number, Time (Divide & Conquer), Time (Naive), Min, Max
740, 0.000000, 0.000000, 41, 32757
750, 0.000000, 0.000000, 41, 32757
760, 0.000000, 0.000000, 41, 32757
770, 0.000000, 0.000000, 41, 32757
780, 0.000000, 0.000000, 28, 32757
790, 0.000000, 0.000000, 28, 32757
800, 0.000000, 0.000000, 28, 32757
810, 0.000000, 0.000000, 28, 32757
820, 0.000000, 0.000000, 28, 32757
830, 0.000000, 0.000000, 28, 32757
840, 0.000000, 0.000000, 28, 32757
850, 0.000000, 0.000000, 28, 32757
860, 0.000000, 0.000000, 28, 32757
870, 0.000000, 0.000000, 28, 32757
880, 0.000000, 0.000000, 28, 32757
890, 0.000000, 0.000000, 28, 32757
900, 0.000000, 0.000000, 28, 32757
910, 0.000000, 0.000000, 28, 32757
920, 0.000000, 0.000000, 28, 32757
930, 0.000000, 0.000000, 28, 32757
940, 0.000000, 0.000000, 28, 32757
950, 0.000000, 0.000000, 28, 32757
960, 0.000000, 0.000000, 28, 32757
970, 0.000000, 0.000000, 28, 32757
980, 0.000000, 0.000000, 28, 32757
990, 0.000000, 0.000000, 28, 32757
1000, 0.000000, 0.000000, 28, 32757
1010, 0.000000, 0.000000, 28, 32757
1020, 0.000000, 0.000000, 28, 32757
1030, 0.000000, 0.000000, 28, 32757
1040, 0.000000, 0.000000, 28, 32757
1050, 0.000000, 0.000000, 28, 32757
1060, 0.000000, 0.000000, 28, 32757
1070, 0.000000, 0.000000, 28, 32757
1080, 0.000000, 0.000000, 28, 32757
1090, 0.000000, 0.000000, 28, 32757
1100, 0.000000, 0.000000, 28, 32757
1110, 0.000000, 0.000000, 28, 32757
1120, 0.000000, 0.000000, 28, 32757
1130, 0.000000, 0.000000, 28, 32757
1140, 0.000000, 0.000000, 28, 32757
1150, 0.001000, 0.000000, 28, 32757
1160, 0.000000, 0.000000, 28, 32757
1170, 0.000000, 0.000000, 28, 32757
1180, 0.000000, 0.000000, 28, 32757
1190, 0.000000, 0.000000, 28, 32757
1200, 0.000000, 0.000000, 28, 32757
1210, 0.000000, 0.000000, 28, 32757
1220, 0.000000, 0.000000, 28, 32757
1230, 0.000000, 0.000000, 28, 32757
1240, 0.000000, 0.000000, 28, 32757
1250, 0.000000, 0.000000, 28, 32757
1260, 0.000000, 0.000000, 28, 32757
1270, 0.000000, 0.000000, 28, 32757
1280, 0.000000, 0.000000, 28, 32757
1290, 0.000000, 0.000000, 28, 32757
